# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 1.087343102872871118e-05 2.591171972177942054e-05
7.412535448888889711e+00 1.591740807355422998e-05 3.058645870584615601e-05
1.482507089777777942e+01 3.240512913991516395e-05 4.579979939252397728e-05
2.223760634666667002e+01 6.391641037090381916e-05 7.412199776567554577e-05
2.965014179555555884e+01 1.150178700542683235e-04 1.184766986329646802e-04
3.706267724444444411e+01 1.897927484498697771e-04 1.780052612806142919e-04
4.447521269333334004e+01 2.906033309953559704e-04 2.453814494268736200e-04
5.188774814222222886e+01 4.172563001791713055e-04 3.105744542822785545e-04
5.930028359111111769e+01 5.665062281452598863e-04 3.675770512664237855e-04
6.671281903999999940e+01 7.318663931761506701e-04 4.176715795217203725e-04
7.412535448888888823e+01 9.039650544572204807e-04 4.656780222313926395e-04
8.153788993777777705e+01 1.071839146848171422e-03 5.136967127929079318e-04
8.895042538666668008e+01 1.225289988079885555e-03 5.609973480352571174e-04
9.636296083555556891e+01 1.357756824924383904e-03 6.094347540913329494e-04
1.037754962844444577e+02 1.468482372013370750e-03 6.653068207147134778e-04
1.111880317333333466e+02 1.562648470095296489e-03 7.342134280531586185e-04
1.186005671822222354e+02 1.648902456408535364e-03 8.152036001219966060e-04
1.260131026311111242e+02 1.735088359568158099e-03 9.005593641855699338e-04
1.334256380799999988e+02 1.824111516967940900e-03 9.798899943538014017e-04
1.408381735288889161e+02 1.912122591727692059e-03 1.044294352889888833e-03
1.482507089777777765e+02 1.990101135336152204e-03 1.087784426995873615e-03
1.556632444266666937e+02 2.048197802626545386e-03 1.105023462389726017e-03
1.630757798755555541e+02 2.080642736238337391e-03 1.088299212245328338e-03
1.704883153244444713e+02 2.088727292024910621e-03 1.029600444758051441e-03
1.779008507733333602e+02 2.080428081190801963e-03 9.294888106840753323e-04
1.853133862222222490e+02 2.067008421078722624e-03 8.073353524773456587e-04
1.927259216711111378e+02 2.058520257271187308e-03 7.035196901388222814e-04
2.001384571199999982e+02 2.060407667179151980e-03 6.593914260080932250e-04
2.075509925688889155e+02 2.072592074303040554e-03 6.768498902847941119e-04
2.149635280177777759e+02 2.090930198438712036e-03 7.189495496889598001e-04
2.223760634666666931e+02 2.109756922972148320e-03 7.567991348150120753e-04
2.297885989155555535e+02 2.124017093588906769e-03 7.895005168116830214e-04
2.372011343644444707e+02 2.130130759195394095e-03 8.300386893183629797e-04
2.446136698133333596e+02 2.125735076755889529e-03 8.848399915787368746e-04
2.520262052622222484e+02 2.109087465026744917e-03 9.494578809406674326e-04
2.594387407111111656e+02 2.078837294086604507e-03 1.017878637282863688e-03
2.668512761599999976e+02 2.034381347315097725e-03 1.086001793486612204e-03
2.742638116088889433e+02 1.976384465407852314e-03 1.147376950041302003e-03
2.816763470577778321e+02 1.906916158945429554e-03 1.193801773720240631e-03
2.890888825066666641e+02 1.828908278967657317e-03 1.221239291146321076e-03
2.965014179555555529e+02 1.745162380341254340e-03 1.230031737217918792e-03
3.039139534044444417e+02 1.657503375125644798e-03 1.219121826171961666e-03
3.113264888533333874e+02 1.566634842163987327e-03 1.186652686843090929e-03
3.187390243022222762e+02 1.472824150942594976e-03 1.138986164152784282e-03
3.261515597511111082e+02 1.377068224682879895e-03 1.092295774698502902e-03
3.335640951999999970e+02 1.281996909198064149e-03 1.057888798870669587e-03
3.409766306488889427e+02 1.191895107884183899e-03 1.029938601681470696e-03
3.483891660977778315e+02 1.111596991012651133e-03 9.955501882842961343e-04
3.558017015466667203e+02 1.044651978637656546e-03 9.513780528512405391e-04
3.632142369955555523e+02 9.916227493781334945e-04 9.035418989788878601e-04
3.706267724444444980e+02 9.494110270680631170e-04 8.562583073935554207e-04
3.780393078933333868e+02 9.121348534033953603e-04 8.080177967503943516e-04
3.854518433422222756e+02 8.733108948810692834e-04 7.574997449425075477e-04
3.928643787911111076e+02 8.284083299646873965e-04 7.069261918600051788e-04
4.002769142399999964e+02 7.765981805034295662e-04 6.596379148913612649e-04
4.076894496888889421e+02 7.208371821816751245e-04 6.184293854432811174e-04
4.151019851377778309e+02 6.662570565092437508e-04 5.859660594074338810e-04
4.225145205866667197e+02 6.176850137269069597e-04 5.641099510468620612e-04
4.299270560355555517e+02 5.775545408628483032e-04 5.536903796270736117e-04
4.373395914844444974e+02 5.451561487970369574e-04 5.556908909531085589e-04
4.447521269333333862e+02 5.174448584744495558e-04 5.689807064668386599e-04
4.521646623822222750e+02 4.907599352867314264e-04 5.854553385076621385e-04
4.595771978311111070e+02 4.624438990033627917e-04 5.914348260749396295e-04
4.669897332800000527e+02 4.315640338195591359e-04 5.756308309945561965e-04
4.744022687288889415e+02 3.986099263578042856e-04 5.352131139701268338e-04
4.818148041777778303e+02 3.646280429458154484e-04 4.756666279577231155e-04
4.892273396266667191e+02 3.304930796487498437e-04 4.065852839388855305e-04
4.966398750755555511e+02 2.967240134797652102e-04 3.372939358430363226e-04
5.040524105244444968e+02 2.637812888738021990e-04 2.748113968236674267e-04
5.114649459733333856e+02 2.324455261598509467e-04 2.238856373705203507e-04
5.188774814222223313e+02 2.038650244892799485e-04 1.868688568477528257e-04
5.262900168711112201e+02 1.792005934772832325e-04 1.624579147328625826e-04
5.337025523199999952e+02 1.590985982194415536e-04 1.457000285205554285e-04
5.411150877688889977e+02 1.433642174391751365e-04 1.312559356445932050e-04
5.485276232177778866e+02 1.310479236913158390e-04 1.167969153850620867e-04
5.559401586666666617e+02 1.208775327216964014e-04 1.035099894599699865e-04
5.633526941155556642e+02 1.117653377440807884e-04 9.397534395555969303e-05
5.707652295644444393e+02 1.031153015836614774e-04 8.889245338109606873e-05
5.781777650133333282e+02 9.482728351142339545e-05 8.575274607578768572e-05
5.855903004622223307e+02 8.707898705238039077e-05 8.114327117928468106e-05
5.930028359111111058e+02 8.006510404240480493e-05 7.341944764635268067e-05
6.004153713600001083e+02 7.383162795385831009e-05 6.325519017430467918e-05
6.078279068088888835e+02 6.824954320801797174e-05 5.268053131864704186e-05
6.152404422577777723e+02 6.308520277426116446e-05 4.366984254819658074e-05
6.226529777066667748e+02 5.810649079256461833e-05 3.707394924123531366e-05
6.300655131555555499e+02 5.317760678992351292e-05 3.252223815332259493e-05
6.374780486044445524e+02 4.831650553314188084e-05 2.918382418871205494e-05
6.448905840533334413e+02 4.369535433500858061e-05 2.646006653679716376e-05
6.523031195022222164e+02 3.957221704867150267e-05 2.415871390701411007e-05
6.597156549511112189e+02 3.617043618666880274e-05 2.235684253929245106e-05
6.671281903999999940e+02 3.355730217920399274e-05 2.110721234003487106e-05
6.745407258488889966e+02 3.159139766757203157e-05 2.020143687926367700e-05
6.819532612977778854e+02 2.997804458228816834e-05 1.927555064794980172e-05
6.893657967466666605e+02 2.840919174829088548e-05 1.812685519751697474e-05
6.967783321955556630e+02 2.670780983803816203e-05 1.686583306655466580e-05
7.041908676444444382e+02 2.489100645129210609e-05 1.579549526192552947e-05
7.116034030933334407e+02 2.311889359997400999e-05 1.514864087160718607e-05
7.190159385422223295e+02 2.156866525381998878e-05 1.489545367179642116e-05
7.264284739911111046e+02 2.031761454315558302e-05 1.478876002744384243e-05
7.338410094400001071e+02 1.930386734117701036e-05 1.455084451423402249e-05
7.412535448888889960e+02 1.837672114833093642e-05 1.398539795941047711e-05
7.486660803377777711e+02 1.739143855169733409e-05 1.299152528205097112e-05
7.560786157866667736e+02 1.628455264223813978e-05 1.158027740392248938e-05
7.634911512355555487e+02 1.509021710842115047e-05 9.912378960858844051e-06
7.709036866844445512e+02 1.390233415705609560e-05 8.275940220184306356e-06
7.783162221333334401e+02 1.281675841752403989e-05 6.943446726513433861e-06
7.857287575822222152e+02 1.188974871972445974e-05 5.990880055251652499e-06
7.931412930311112177e+02 1.112828359213487011e-05 5.302205812393966185e-06
8.005538284799999929e+02 1.050591442405744523e-05 4.775116861301734624e-06
8.079663639288889954e+02 9.987080391931987149e-06 4.424489903880778801e-06
8.153788993777778842e+02 9.545880413556309582e-06 4.273638956254795461e-06
8.227914348266666593e+02 9.173018779144389185e-06 4.244828878021052514e-06
8.302039702755556618e+02 8.871229688961701715e-06 4.224069171311592937e-06
8.376165057244445507e+02 8.642650175193932914e-06 4.183118360499194975e-06
8.450290411733334395e+02 8.474913967470572868e-06 4.182338881301949112e-06
8.524415766222223283e+02 8.333855887879083527e-06 4.248429890359116199e-06
8.598541120711111034e+02 8.168950232731779653e-06 4.293018247953367806e-06
8.672666475200001059e+02 7.931319527495502399e-06 4.191026957595556953e-06
8.746791829688889948e+02 7.595301467317820598e-06 3.895977180321218893e-06
8.820917184177777699e+02 7.171240590702539410e-06 3.464867494108467748e-06
8.895042538666667724e+02 6.701179030224515246e-06 3.003360347431222101e-06
8.969167893155555475e+02 6.240125569130867947e-06 2.596698715060649838e-06
9.043293247644445501e+02 5.834052367253089504e-06 2.285238215740712079e-06
9.117418602133334389e+02 5.506439915513205797e-06 2.088294529297640957e-06
9.191543956622222140e+02 5.258448983206763115e-06 2.014516090397367792e-06
9.265669311111112165e+02 5.078520921111764021e-06 2.039961022525920016e-06
9.339794665600001053e+02 4.952988625204405546e-06 2.115123001487854751e-06
9.413920020088889942e+02 4.871569226855666798e-06 2.199950634547204433e-06
9.488045374577778830e+02 4.826909303153594047e-06 2.274847904060195599e-06
9.562170729066666581e+02 4.811217091027012775e-06 2.332814449518655778e-06
9.636296083555556606e+02 4.813142624705344830e-06 2.375516008986429163e-06
9.710421438044445495e+02 4.816660178179466108e-06 2.406520117549106240e-06
9.784546792533334383e+02 4.802689738681839953e-06 2.412845836065459387e-06
9.858672147022223271e+02 4.754003319486233760e-06 2.356005289271526148e-06
9.932797501511111022e+02 4.662936286019076437e-06 2.195717918952813798e-06
1.000692285600000105e+03 4.538770279010068611e-06 1.929513540620723427e-06
1.008104821048888994e+03 4.409388085249015359e-06 1.612116940926707437e-06
1.015517356497777882e+03 4.313300789961379074e-06 1.340201063877802307e-06
1.022929891946666771e+03 4.283864102832911410e-06 1.205797260401098871e-06
1.030342427395555660e+03 4.333679149125247554e-06 1.232833311019437185e-06
1.037754962844444663e+03 4.448585532158111079e-06 1.368128527932814634e-06
1.045167498293333438e+03 4.595118344876100475e-06 1.540455994486345293e-06
1.052580033742222440e+03 4.736430811159515937e-06 1.692473427505674174e-06
1.059992569191111215e+03 4.846543487905357925e-06 1.784834239733981207e-06
1.067405104639999990e+03 4.915360095983837414e-06 1.802364866786746988e-06
1.074817640088888993e+03 4.944750887704295936e-06 1.757252187590915576e-06
1.082230175537777995e+03 4.942391281232744672e-06 1.677558842109749241e-06
1.089642710986666771e+03 4.919575128933694443e-06 1.586353342303681336e-06
1.097055246435555773e+03 4.893197019578959190e-06 1.494777449019377261e-06
1.104467781884444548e+03 4.886647383226973889e-06 1.418678923919727597e-06
1.111880317333333323e+03 4.924877039292899219e-06 1.391765795203763590e-06
1.119292852782222099e+03 5.024857842711672971e-06 1.445578193210432803e-06
1.126705388231111328e+03 5.188216192837897713e-06 1.579271869281685448e-06
1.134117923680000104e+03 5.402308778676617760e-06 1.770047363461453982e-06
1.141530459128888879e+03 5.649596034285543163e-06 2.004837428185960246e-06
1.148942994577777881e+03 5.918513505061983679e-06 2.282987121530283040e-06
1.156355530026666656e+03 6.208237652939561043e-06 2.589131441823946148e-06
1.163768065475555659e+03 6.525414809114374077e-06 2.875626024767655801e-06
1.171180600924444661e+03 6.877922687725407131e-06 3.087866989191820469e-06
1.178593136373333436e+03 7.272571229683335542e-06 3.212751869911333517e-06
1.186005671822222212e+03 7.719043989499270366e-06 3.295878169473354594e-06
1.193418207271111214e+03 8.235430493514860859e-06 3.404287009788666397e-06
1.200830742720000217e+03 8.848354250582365343e-06 3.582607883180458378e-06
1.208243278168888992e+03 9.584287973530548584e-06 3.854756965524934677e-06
1.215655813617777767e+03 1.045636615009288202e-05 4.248536318040708287e-06
1.223068349066666769e+03 1.145599307849399191e-05 4.807845016616131529e-06
1.230480884515555545e+03 1.255677157721043805e-05 5.593224609317538136e-06
1.237893419964444547e+03 1.373180458510944553e-05 6.676563521104126473e-06
1.245305955413333550e+03 1.497735230384831476e-05 8.127925860925618051e-06
1.252718490862222325e+03 1.633086301002897707e-05 9.972037400399245296e-06
1.260131026311111100e+03 1.787329007381878221e-05 1.214531998744799337e-05
1.267543561760000102e+03 1.971324796358433671e-05 1.455361619262835801e-05
1.274956097208889105e+03 2.196248593046832938e-05 1.720686310753472730e-05
1.282368632657777880e+03 2.472107434321596306e-05 2.024813463928556374e-05
1.289781168106666883e+03 2.808941195579171260e-05 2.381173306124108313e-05
1.297193703555555658e+03 3.220735905066150865e-05 2.789363680251726136e-05
1.304606239004444433e+03 3.729704226164395127e-05 3.235618519040386464e-05
1.312018774453333435e+03 4.367153386770116831e-05 3.698072073170095256e-05
1.319431309902222438e+03 5.168248740025593554e-05 4.160959701604433612e-05
1.326843845351111213e+03 6.161844910803088041e-05 4.657167079242272527e-05
1.334256380799999988e+03 7.360378120337697754e-05 5.311514185217733872e-05
1.341668916248888991e+03 8.755653025372958306e-05 6.286575496956363352e-05
1.349081451697777993e+03 1.032207880115341492e-04 7.618495045401887521e-05
1.356493987146666768e+03 1.202338292768310145e-04 9.142702518623488340e-05
1.363906522595555771e+03 1.381549395925882827e-04 1.060312678259283476e-04
1.371319058044444546e+03 1.564287528745637043e-04 1.180789941106144417e-04
1.378731593493333321e+03 1.743438469352752017e-04 1.271434649409952623e-04
1.386144128942222551e+03 1.911062392160262969e-04 1.340291521859018474e-04
1.393556664391111326e+03 2.061013927633247229e-04 1.396290431314222086e-04
1.400969199840000101e+03 2.192658993097944752e-04 1.440222185726161943e-04
1.408381735288888876e+03 2.313302743881598400e-04 1.469992452736482950e-04
1.415794270737777879e+03 2.436818813451524718e-04 1.495801960621709619e-04
1.423206806186666881e+03 2.577878187686789857e-04 1.544555970346051421e-04
1.430619341635555656e+03 2.744227665177027408e-04 1.638979657539585270e-04
1.438031877084444659e+03 2.931460261061099920e-04 1.771398261725718555e-04
1.445444412533333434e+03 3.123944269491876107e-04 1.907904952565312416e-04
1.452856947982222209e+03 3.301852963338757700e-04 2.014681774348438389e-04
1.460269483431111212e+03 3.450197816952317760e-04 2.075448512546547008e-04
1.467682018880000214e+03 3.564424154512559170e-04 2.095847876859856284e-04
1.475094554328888989e+03 3.649854122858935384e-04 2.104542665210021551e-04
1.482507089777777992e+03 3.717413757586427651e-04 2.146713853563456749e-04
1.489919625226666767e+03 3.781584343067735080e-04 2.258749434608293852e-04
1.497332160675555542e+03 3.864830162093683941e-04 2.444363034409026154e-04
1.504744696124444545e+03 4.006420031704168816e-04 2.691152159767943382e-04
