# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 1.559396304099375417e-05 1.873478696637280219e-05
7.412535448888889711e+00 2.124775900719376402e-05 2.282679739849651103e-05
1.482507089777777942e+01 3.908356768833528969e-05 3.986338945401978189e-05
2.223760634666667002e+01 7.150789558948566094e-05 7.004522813212699713e-05
2.965014179555555884e+01 1.218661043308827613e-04 1.121734578560061043e-04
3.706267724444444411e+01 1.936183913292572223e-04 1.650429761858940379e-04
4.447521269333334004e+01 2.894528211986442342e-04 2.249926552029816627e-04
5.188774814222222886e+01 4.104685530370752152e-04 2.851122346269162745e-04
5.930028359111111769e+01 5.555074792766970032e-04 3.374385286011304412e-04
6.671281903999999940e+01 7.207043179254681410e-04 3.763843739851567604e-04
7.412535448888888823e+01 8.993829782399738373e-04 4.064299850356463471e-04
8.153788993777777705e+01 1.082498085239014729e-03 4.470568094715921155e-04
8.895042538666668008e+01 1.259800515276942581e-03 5.034973192492257906e-04
9.636296083555556891e+01 1.421708097542393693e-03 5.752348765740869594e-04
1.037754962844444577e+02 1.561486334718455811e-03 6.564199199859987229e-04
1.111880317333333466e+02 1.676996693609369201e-03 7.358411152685780934e-04
1.186005671822222354e+02 1.771177344242903361e-03 8.118104004705666964e-04
1.260131026311111242e+02 1.850773845093711591e-03 8.819038065973974511e-04
1.334256380799999988e+02 1.923549161381394885e-03 9.467733772633742237e-04
1.408381735288889161e+02 1.994988454775012843e-03 1.004910745220663091e-03
1.482507089777777765e+02 2.065916624050256022e-03 1.050355962993859780e-03
1.556632444266666937e+02 2.132148219546277802e-03 1.071695948333381988e-03
1.630757798755555541e+02 2.186431464398624121e-03 1.058514306557957821e-03
1.704883153244444713e+02 2.221841859740654544e-03 1.009258602689544829e-03
1.779008507733333602e+02 2.235066558327143595e-03 9.361824513790687006e-04
1.853133862222222490e+02 2.228055633786607016e-03 8.562346786962071873e-04
1.927259216711111378e+02 2.207298034900833858e-03 7.764202226508371083e-04
2.001384571199999982e+02 2.181134583126644131e-03 7.050516311146327181e-04
2.075509925688889155e+02 2.156421848641914933e-03 6.551781084986151157e-04
2.149635280177777759e+02 2.136123475802068506e-03 6.475528644889590657e-04
2.223760634666666931e+02 2.118843771074765698e-03 6.864988395812831982e-04
2.297885989155555535e+02 2.100341757870529714e-03 7.461750585979675873e-04
2.372011343644444707e+02 2.076093141614932663e-03 8.036574128764776290e-04
2.446136698133333596e+02 2.043554112570447265e-03 8.550904185680949796e-04
2.520262052622222484e+02 2.003053689731704341e-03 9.073201922622962327e-04
2.594387407111111656e+02 1.957022732715554564e-03 9.543785786899008786e-04
2.668512761599999976e+02 1.908188610780927469e-03 9.876588761475915256e-04
2.742638116088889433e+02 1.857825670427140901e-03 1.008192099573982725e-03
2.816763470577778321e+02 1.805061593740065525e-03 1.021562289827135112e-03
2.890888825066666641e+02 1.747573628151850942e-03 1.028368757239631667e-03
2.965014179555555529e+02 1.683217052589607021e-03 1.026964932247512478e-03
3.039139534044444417e+02 1.611614049017315959e-03 1.017444471992221076e-03
3.113264888533333874e+02 1.534833275858064460e-03 1.002827777265835867e-03
3.187390243022222762e+02 1.456792607911676449e-03 9.864757762218909123e-04
3.261515597511111082e+02 1.381774025342256181e-03 9.687260503299429532e-04
3.335640951999999970e+02 1.312826463629818792e-03 9.481208430512906658e-04
3.409766306488889427e+02 1.250797095731478407e-03 9.248026517643468791e-04
3.483891660977778315e+02 1.194332245099733684e-03 8.999721773599745483e-04
3.558017015466667203e+02 1.140620911314906959e-03 8.721178889246512800e-04
