# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 7.865197453012099174e-05 1.938715992661578296e-05
8.895042538666666943e+00 8.675645632709699361e-05 2.055066968502041483e-05
1.779008507733333389e+01 1.111377702454985437e-04 2.437883119374637856e-05
2.668512761600000260e+01 1.519841856011374867e-04 3.124204977058524636e-05
3.558017015466666777e+01 2.095613778216903376e-04 4.093809134464170305e-05
4.447521269333334004e+01 2.841397513547459287e-04 5.300729075844741846e-05
5.337025523200000521e+01 3.758967841114757482e-04 6.710742372367636463e-05
6.226529777066667037e+01 4.847996375843246423e-04 8.306537347625333318e-05
7.116034030933333554e+01 6.104714619398160600e-04 1.007728331106980672e-04
8.005538284800000781e+01 7.520584317070772061e-04 1.201192920360942746e-04
8.895042538666668008e+01 9.081035803587839822e-04 1.410165787036374394e-04
9.784546792533333814e+01 1.076452577013280783e-03 1.634294286389001004e-04
1.067405104640000104e+02 1.254192794202814085e-03 1.872416298018488208e-04
1.156355530026666827e+02 1.437657458832426868e-03 2.119779909567042473e-04
1.245305955413333407e+02 1.622487736741799443e-03 2.364891527171988233e-04
1.334256380799999988e+02 1.803776395174405342e-03 2.589387151541825706e-04
1.423206806186666711e+02 1.976278847042912522e-03 2.772151416421582155e-04
1.512157231573333434e+02 2.134682528873160703e-03 2.897201929862608535e-04
1.601107656960000156e+02 2.273931813753601698e-03 2.963761543041924123e-04
1.690058082346666879e+02 2.389583414660949919e-03 2.994226377140295128e-04
1.779008507733333602e+02 2.478129797557279256e-03 3.034839590189211418e-04
1.867958933120000040e+02 2.537321092769564100e-03 3.140338457524598399e-04
1.956909358506666763e+02 2.566373536953204387e-03 3.343221898973933984e-04
2.045859783893333486e+02 2.566098436201996562e-03 3.630006624195266079e-04
2.134810209280000208e+02 2.538880668492784869e-03 3.947472551415491982e-04
2.223760634666666931e+02 2.488497729657083556e-03 4.229980707438808643e-04
2.312711060053333654e+02 2.419819312185865403e-03 4.423809068274703500e-04
2.401661485440000376e+02 2.338362923596895657e-03 4.500657017792655400e-04
2.490611910826666815e+02 2.249762530210763951e-03 4.462085728939943637e-04
2.579562336213333538e+02 2.159239201878084425e-03 4.337831710715730625e-04
2.668512761599999976e+02 2.071081256229748580e-03 4.178404177795705930e-04
2.757463186986666983e+02 1.988260367087068582e-03 4.041838278310330690e-04
2.846413612373333422e+02 1.912192134534969378e-03 3.975137785995085972e-04
2.935364037760000429e+02 1.842721943541994391e-03 3.997114934490549141e-04
3.024314463146666867e+02 1.778302418484370472e-03 4.093579338529831197e-04
3.113264888533333874e+02 1.716358925724266416e-03 4.228125566083507764e-04
3.202215313920000312e+02 1.653790885814329691e-03 4.358642042011105560e-04
3.291165739306667319e+02 1.587518071634751518e-03 4.449227531705074001e-04
3.380116164693333758e+02 1.515019206377418888e-03 4.475645051123262191e-04
3.469066590080000765e+02 1.434725400617834021e-03 4.426685951404349373e-04
3.558017015466667203e+02 1.346287124028647860e-03 4.303558929284720977e-04
3.646967440853333642e+02 1.250604342587428907e-03 4.117727744593772986e-04
3.735917866240000080e+02 1.149679256773098466e-03 3.887114376081483120e-04
3.824868291626666519e+02 1.046297888423540533e-03 3.631005576054012951e-04
3.913818717013333526e+02 9.436095982170326435e-04 3.365067236838173328e-04
4.002769142399999964e+02 8.446928581660898081e-04 3.098529684084012675e-04
4.091719567786666971e+02 7.521590648888774400e-04 2.834788049013703122e-04
4.180669993173333410e+02 6.678683222242844282e-04 2.574833053604855151e-04
4.269620418560000417e+02 5.927930823129270782e-04 2.321310827111031886e-04
4.358570843946666855e+02 5.270349935245487736e-04 2.080496072161210530e-04
4.447521269333333862e+02 4.699684619846780762e-04 1.861025605635883875e-04
4.536471694720000301e+02 4.204769862618314038e-04 1.670022520738133451e-04
4.625422120106667307e+02 3.772216322530732050e-04 1.509078011860749593e-04
4.714372545493333746e+02 3.388950115020196332e-04 1.372931850072408927e-04
4.803322970880000753e+02 3.044123769009705015e-04 1.252056616241105109e-04
4.892273396266667191e+02 2.730194916259089241e-04 1.137271924801896820e-04
4.981223821653333630e+02 2.443102234867139681e-04 1.023188370349165766e-04
5.070174247040000068e+02 2.181682107162017054e-04 9.090400431269625968e-05
5.159124672426667075e+02 1.946614910356795096e-04 7.974201744098121866e-05
5.248075097813334651e+02 1.739176212296387439e-04 6.923328441845583419e-05
5.337025523199999952e+02 1.560143273125842635e-04 5.975471714620827351e-05
5.425975948586667528e+02 1.409027704435030632e-04 5.157079944174015190e-05
5.514926373973333966e+02 1.283789892886891455e-04 4.480774842999227692e-05
5.603876799360001542e+02 1.180972256908165038e-04 3.945665568384595278e-05
5.692827224746666843e+02 1.096178107818037057e-04 3.538011028918600402e-05
5.781777650133333282e+02 1.024714218037391827e-04 3.232200544256570273e-05
5.870728075520000857e+02 9.622347418691217880e-05 2.995224123289803766e-05
5.959678500906666159e+02 9.052341818106409105e-05 2.793940192127690797e-05
6.048628926293333734e+02 8.513280664779968726e-05 2.602495383502171221e-05
6.137579351680000173e+02 7.992751517033017832e-05 2.406166652099895174e-05
6.226529777066667748e+02 7.488067750448471212e-05 2.201525781494962771e-05
6.315480202453333050e+02 7.003128984247541336e-05 1.993692456892218916e-05
6.404430627840000625e+02 6.545016055682227780e-05 1.792651558815262731e-05
6.493381053226667063e+02 6.120794910571802081e-05 1.608940505949440751e-05
6.582331478613334639e+02 5.735346185443785733e-05 1.450320254875200330e-05
6.671281903999999940e+02 5.390199500430279143e-05 1.319538532599922013e-05
6.760232329386667516e+02 5.083477441236533784e-05 1.214183728415727759e-05
6.849182754773333954e+02 4.810566347987437456e-05 1.128351665467102808e-05
6.938133180160001530e+02 4.565234492368083362e-05 1.055246852181413231e-05
7.027083605546666831e+02 4.340800253072384194e-05 9.894926649480996464e-06
7.116034030933334407e+02 4.131151841566993481e-05 9.284252150673716084e-06
7.204984456320000845e+02 3.931422625610599684e-05 8.720664313091592882e-06
7.293934881706667284e+02 3.738350037317739243e-05 8.219012294227299087e-06
7.382885307093333722e+02 3.550303066514184854e-05 7.789795445304025363e-06
7.471835732480000161e+02 3.367100304843777378e-05 7.423868410313858477e-06
7.560786157866667736e+02 3.189685025400778559e-05 7.091937029083154268e-06
7.649736583253333038e+02 3.019702288500706659e-05 6.758860839816074449e-06
7.738687008640000613e+02 2.859098046346338071e-05 6.401725800872468118e-06
7.827637434026667052e+02 2.709699258946676517e-05 6.019404580187337866e-06
7.916587859413334627e+02 2.572894990105485969e-05 5.628831137994221843e-06
8.005538284799999929e+02 2.449373492994140150e-05 5.252139606650864318e-06
8.094488710186667504e+02 2.339016253314270434e-05 4.902892528935046549e-06
8.183439135573333942e+02 2.240901500646570347e-05 4.578720048490490287e-06
8.272389560960001518e+02 2.153452672343537989e-05 4.264276532628500120e-06
8.361339986346666819e+02 2.074680845208456173e-05 3.940368222262895867e-06
8.450290411733334395e+02 2.002475646466279116e-05 3.593921265878727193e-06
8.539240837120000833e+02 1.934890162603700276e-05 3.225203437214218155e-06
8.628191262506667272e+02 1.870366364260282001e-05 2.851858030124633456e-06
8.717141687893333710e+02 1.807875557517603284e-05 2.508749535375051812e-06
8.806092113280000149e+02 1.746938873664978501e-05 2.239888984828891403e-06
8.895042538666667724e+02 1.687572286480439499e-05 2.076904485433696155e-06
8.983992964053334163e+02 1.630181147880849110e-05 2.013169988111200632e-06
9.072943389440000601e+02 1.575403241762111023e-05 2.003510347703007184e-06
9.161893814826667040e+02 1.523997325499707250e-05 1.995445944799877560e-06
9.250844240213334615e+02 1.476709675610565309e-05 1.958886160163461034e-06
9.339794665600001053e+02 1.434191615262573119e-05 1.895366450056079243e-06
9.428745090986667492e+02 1.396921036294195667e-05 1.831052326972303186e-06
9.517695516373333930e+02 1.365135413981076558e-05 1.798283631294577753e-06
9.606645941760001506e+02 1.338774615388156455e-05 1.812266724050619525e-06
9.695596367146666807e+02 1.317456947282716689e-05 1.859062368705267570e-06
9.784546792533334383e+02 1.300499091977611912e-05 1.906607436362812972e-06
9.873497217920000821e+02 1.286994428713267886e-05 1.925007397223227736e-06
9.962447643306667260e+02 1.275930046739652414e-05 1.900196503999277116e-06
1.005139806869333370e+03 1.266381041261538454e-05 1.837221092355423522e-06
1.014034849408000014e+03 1.257685616732817841e-05 1.757299394433477387e-06
1.022929891946666771e+03 1.249571807766375523e-05 1.689570492100002396e-06
1.031824934485333415e+03 1.242236513435371567e-05 1.658879447247724097e-06
1.040719977024000173e+03 1.236286670742055045e-05 1.673547015383387995e-06
1.049615019562666930e+03 1.232610695791850152e-05 1.722509552171787969e-06
1.058510062101333460e+03 1.232182840864321146e-05 1.785325596903859513e-06
1.067405104639999990e+03 1.235860451527992671e-05 1.845646897120073835e-06
1.076300147178666748e+03 1.244242953418022094e-05 1.899939074478038165e-06
1.085195189717333506e+03 1.257631810248481116e-05 1.958490410465563310e-06
1.094090232256000036e+03 1.276095302937781487e-05 2.040220081101388008e-06
1.102985274794666793e+03 1.299607039785857213e-05 2.163984355093410847e-06
1.111880317333333323e+03 1.328236305174882794e-05 2.341883682559067440e-06
1.120775359872000308e+03 1.362291722662010865e-05 2.577636165437547472e-06
1.129670402410666838e+03 1.402420182334540634e-05 2.868124245053971963e-06
1.138565444949333369e+03 1.449606743571226549e-05 3.203843177441856389e-06
1.147460487488000126e+03 1.505156840287848790e-05 3.568400316194260534e-06
1.156355530026666656e+03 1.570667233968208221e-05 3.940565611747350611e-06
1.165250572565333414e+03 1.648114429720267944e-05 4.300405489747019797e-06
1.174145615104000171e+03 1.740040262893332960e-05 4.637501309113644345e-06
1.183040657642666702e+03 1.849862300592889416e-05 4.958500298293476654e-06
1.191935700181333232e+03 1.982252229846522749e-05 5.293513686875898243e-06
1.200830742720000217e+03 2.143441273934252220e-05 5.703735358330797556e-06
1.209725785258666747e+03 2.341367162956675173e-05 6.291318929752844329e-06
1.218620827797333504e+03 2.585548689733982141e-05 7.199870979273439342e-06
1.227515870336000035e+03 2.886680349649620999e-05 8.585366169180026253e-06
1.236410912874666792e+03 3.256041531967685660e-05 1.056179590702982479e-05
1.245305955413333550e+03 3.704841722322005869e-05 1.316053332786095554e-05
1.254200997952000080e+03 4.243693656091271767e-05 1.632855137327904519e-05
1.263096040490666610e+03 4.882424861891858944e-05 1.995337121333495316e-05
1.271991083029333595e+03 5.630218095904527848e-05 2.389897979908522284e-05
1.280886125568000125e+03 6.496056679752895680e-05 2.804564423963956801e-05
1.289781168106666883e+03 7.489192826552596750e-05 3.232526190103210433e-05
1.298676210645333413e+03 8.619362541328663577e-05 3.674127755438869215e-05
1.307571253183999943e+03 9.896329720329099741e-05 4.135779134125761540e-05
1.316466295722666928e+03 1.132859500125233982e-04 4.625900927005279596e-05
1.325361338261333458e+03 1.292119338361612919e-04 5.149492069351884594e-05
1.334256380799999988e+03 1.467301400265204076e-04 5.704811565635629108e-05
1.343151423338666746e+03 1.657389396850024086e-04 6.284369432912199677e-05
1.352046465877333503e+03 1.860263645494857293e-04 6.879792860231498202e-05
1.360941508416000033e+03 2.072624743274240674e-04 7.487262424789169776e-05
1.369836550954666791e+03 2.290125981046859586e-04 8.109293998439005033e-05
1.378731593493333321e+03 2.507712748036147613e-04 8.750956880808141106e-05
1.387626636032000306e+03 2.720137486485620744e-04 9.411475397351727406e-05
1.396521678570666836e+03 2.922571018170868565e-04 1.007625971221745771e-04
