# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 1.125757400033374383e-05 1.225045446422994049e-05
4.447521269333333471e+00 1.345998819116375595e-05 1.328588695022557294e-05
8.895042538666666943e+00 2.026854797636813192e-05 1.799333122610961849e-05
1.334256380800000130e+01 3.225103712756514858e-05 2.785806681153972614e-05
1.779008507733333389e+01 5.024038774578911711e-05 4.234602443284255348e-05
2.223760634666667002e+01 7.518909497642783317e-05 6.068739563296461176e-05
2.668512761600000260e+01 1.080075312704473374e-04 8.249134780996905149e-05
3.113264888533333519e+01 1.494173879807795256e-04 1.076524554941845577e-04
3.558017015466666777e+01 1.998456942049606417e-04 1.361771815689306745e-04
4.002769142400000391e+01 2.593737972678215572e-04 1.680542976784753218e-04
4.447521269333334004e+01 3.277442442595052390e-04 2.032093686769832958e-04
4.892273396266666907e+01 4.044156229237049513e-04 2.415127193841375879e-04
5.337025523200000521e+01 4.886439810727132797e-04 2.827661290437492067e-04
5.781777650133334134e+01 5.795728079423252254e-04 3.266283015959653554e-04
6.226529777066667037e+01 6.763072720186964282e-04 3.724922620579537171e-04
6.671281903999999940e+01 7.779637032055446893e-04 4.193891161683866971e-04
7.116034030933333554e+01 8.836900406842647859e-04 4.659813502299854442e-04
7.560786157866667168e+01 9.926636860546280035e-04 5.106831918928093168e-04
8.005538284800000781e+01 1.104076870715092534e-03 5.519125676532239027e-04
8.450290411733334395e+01 1.217125524654587244e-03 5.884493299235861756e-04
8.895042538666668008e+01 1.330997926781709532e-03 6.198509547255344389e-04
9.339794665600000201e+01 1.444887656819869711e-03 6.468386496023459300e-04
9.784546792533333814e+01 1.557998047899466403e-03 6.714707431911086637e-04
1.022929891946666743e+02 1.669542637982026788e-03 6.968948289913852890e-04
1.067405104640000104e+02 1.778745619362715174e-03 7.266069725756624503e-04
1.111880317333333466e+02 1.884805541277504619e-03 7.633507590350964824e-04
1.156355530026666827e+02 1.986855762097458535e-03 8.082313430141866827e-04
1.200830742720000188e+02 2.083926949952657169e-03 8.605516690798814322e-04
1.245305955413333407e+02 2.174939429271387399e-03 9.183901052303153952e-04
1.289781168106666769e+02 2.258707727186569196e-03 9.793878142442043622e-04
1.334256380799999988e+02 2.334048506391087074e-03 1.041293682001323247e-03
1.378731593493333492e+02 2.399900897732316386e-03 1.102023446107661597e-03
1.423206806186666711e+02 2.455502777634199253e-03 1.159467220044608365e-03
1.467682018880000214e+02 2.500568496088705593e-03 1.211443228701350808e-03
1.512157231573333434e+02 2.535413414177151159e-03 1.255955511668795229e-03
1.556632444266666937e+02 2.560994904532188331e-03 1.291746475579127812e-03
1.601107656960000156e+02 2.578830669380719962e-03 1.318757164765343558e-03
1.645582869653333660e+02 2.590808473636824205e-03 1.338157320152414537e-03
1.690058082346666879e+02 2.598876044896020025e-03 1.351758677200407075e-03
1.734533295040000382e+02 2.604690776777323670e-03 1.361011874017732833e-03
1.779008507733333602e+02 2.609304325039089184e-03 1.366086423633159665e-03
1.823483720426666821e+02 2.612918590464978225e-03 1.365559750714253695e-03
1.867958933120000040e+02 2.614810723511325902e-03 1.356892365748245443e-03
1.912434145813333259e+02 2.613436551198442155e-03 1.337374752167432837e-03
1.956909358506666763e+02 2.606683979686779014e-03 1.305072011296540095e-03
2.001384571199999982e+02 2.592272824911011526e-03 1.259393286407751609e-03
2.045859783893333486e+02 2.568176141828627541e-03 1.201232424638059518e-03
2.090334996586666705e+02 2.533012908914592746e-03 1.132946051935337668e-03
2.134810209280000208e+02 2.486303588286113437e-03 1.058293944250174659e-03
2.179285421973333428e+02 2.428571860841729959e-03 9.824821130967108327e-04
2.223760634666666931e+02 2.361253095606228886e-03 9.119313675047703701e-04
2.268235847360000150e+02 2.286462140998772076e-03 8.533266877408725607e-04
2.312711060053333654e+02 2.206663533475312737e-03 8.116142563729943386e-04
2.357186272746666873e+02 2.124358102216700617e-03 7.876723029398620011e-04
2.401661485440000376e+02 2.041811916112734430e-03 7.773914419700435688e-04
2.446136698133333596e+02 1.960918957473709555e-03 7.734002821989534836e-04
2.490611910826666815e+02 1.883175627261159200e-03 7.682820333077408029e-04
2.535087123520000034e+02 1.809772428934889417e-03 7.574142779262040600e-04
2.579562336213333538e+02 1.741723347813255553e-03 7.403905601267482105e-04
2.624037548906667325e+02 1.679973783299271769e-03 7.211091977414405690e-04
2.668512761599999976e+02 1.625430695965120577e-03 7.066687002724194016e-04
2.712987974293333764e+02 1.578897271644009916e-03 7.050119556806833153e-04
2.757463186986666983e+02 1.540891055920442284e-03 7.217376884392272480e-04
2.801938399680000771e+02 1.511405798853077825e-03 7.576684070465895468e-04
2.846413612373333422e+02 1.489693345437891666e-03 8.089160647619142745e-04
2.890888825066666641e+02 1.474126411109415473e-03 8.689993815334084559e-04
2.935364037760000429e+02 1.462218128007378073e-03 9.310731781936676475e-04
2.979839250453333079e+02 1.450819458347795809e-03 9.890864430554229935e-04
3.024314463146666867e+02 1.436484075416604844e-03 1.038029979602301612e-03
3.068789675840000086e+02 1.415957521438390102e-03 1.073850954179711914e-03
3.113264888533333874e+02 1.386661963994039511e-03 1.093428193140579072e-03
