# Frequency Average_Intensity Standard_Deviation
0.000000000000000000e+00 6.960041836624480118e-06 5.895712662024157087e-06
4.447521269333333471e+00 7.880270269379398979e-06 6.109881349301997466e-06
8.895042538666666943e+00 1.074961233308403341e-05 7.280992243261826528e-06
1.334256380800000130e+01 1.589882989146723210e-05 9.815573846683050633e-06
1.779008507733333389e+01 2.389058745285675204e-05 1.313950689685123907e-05
2.223760634666667002e+01 3.552144795894463805e-05 1.671996077899625202e-05
2.668512761600000260e+01 5.179944734587080583e-05 2.088989749059395103e-05
3.113264888533333519e+01 7.388150079164858058e-05 2.700079830437722241e-05
3.558017015466666777e+01 1.029626919430138399e-04 3.673643273517777799e-05
4.002769142400000391e+01 1.401222466071970496e-04 5.116710698671730965e-05
4.447521269333334004e+01 1.861455507947058525e-04 7.058430139108548334e-05
4.892273396266666907e+01 2.413573428503005180e-04 9.476012773163293608e-05
5.337025523200000521e+01 3.055050377547069906e-04 1.230341481826740862e-04
5.781777650133334134e+01 3.777411947330665460e-04 1.542775438270020671e-04
6.226529777066667037e+01 4.567233181342365356e-04 1.869321290286759597e-04
6.671281903999999940e+01 5.408499226588318626e-04 2.192351117947688335e-04
7.116034030933333554e+01 6.285934725361318502e-04 2.496148110972358156e-04
7.560786157866667168e+01 7.188843266444511085e-04 2.771777606063377118e-04
8.005538284800000781e+01 8.114542840628929726e-04 3.021790729725057725e-04
8.450290411733334395e+01 9.070551295023718610e-04 3.263539045008861743e-04
8.895042538666668008e+01 1.007463835030909544e-03 3.530104686616340878e-04
9.339794665600000201e+01 1.115233102343982877e-03 3.867583146891713812e-04
9.784546792533333814e+01 1.233189636678404862e-03 4.327745982499435354e-04
1.022929891946666743e+02 1.363738112151788914e-03 4.956561359214239904e-04
1.067405104640000104e+02 1.508092155932810440e-03 5.782053487324168971e-04
1.111880317333333466e+02 1.665583811098754561e-03 6.805584392603701007e-04
1.156355530026666827e+02 1.833213751780148320e-03 7.998543891032342413e-04
1.200830742720000188e+02 2.005542156189720794e-03 9.303308562294971803e-04
