# Time	0_mean	0_err	1_mean	1_err	2_mean	2_err	3_mean	3_err	4_mean	4_err	5_mean	5_err	6_mean	6_err	7_mean	7_err	8_mean	8_err	9_mean	9_err	10_mean	10_err	11_mean	11_err
 0.0000000e+00	 8.3877618e+03	 7.7945532e+02	 8.1311556e+01	 4.7403077e+00	 1.1795376e+01	 6.5852484e-01	 2.1674514e+00	 1.1366196e-01	 6.2930970e-01	 3.3052301e-02	 2.1169708e-01	 1.1279858e-02	 7.9968205e-02	 3.6674359e-03	 3.2659622e-02	 1.5641615e-03	 1.2307449e-02	 5.4693526e-04	 5.0617288e-03	 2.1758545e-04	 1.6258867e-03	 7.3141610e-05	 2.6988728e-04	 1.1201032e-05
 5.0000000e-03	 8.3855425e+03	 7.7927539e+02	 8.1091249e+01	 4.7282439e+00	 1.1700649e+01	 6.5331045e-01	 2.1296503e+00	 1.1170522e-01	 6.0908896e-01	 3.1990634e-02	 2.0030660e-01	 1.0674592e-02	 7.3101897e-02	 3.3527494e-03	 2.8343241e-02	 1.3577262e-03	 9.8469263e-03	 4.3774069e-04	 3.5340163e-03	 1.5196532e-04	 8.7951617e-04	 3.9565135e-05	 9.0459218e-05	 3.7945153e-06
 1.0000000e-02	 8.3787967e+03	 7.7869489e+02	 8.0448411e+01	 4.6921227e+00	 1.1422627e+01	 6.3800950e-01	 2.0207113e+00	 1.0602513e-01	 5.5254903e-01	 2.9030962e-02	 1.6987110e-01	 9.0567864e-03	 5.6076589e-02	 2.5727289e-03	 1.8823696e-02	 9.0220422e-04	 5.4110969e-03	 2.4064426e-04	 1.7029393e-03	 7.3215436e-05	 6.8041125e-04	 3.0633994e-05	 2.6001474e-04	 1.0807165e-05
 1.5000000e-02	 8.3675648e+03	 7.7771719e+02	 7.9395859e+01	 4.6326461e+00	 1.0975589e+01	 6.1339284e-01	 1.8522821e+00	 9.7225808e-02	 4.7062066e-01	 2.4743788e-02	 1.3017493e-01	 6.9451812e-03	 3.7579145e-02	 1.7245217e-03	 1.1544414e-02	 5.5338949e-04	 4.2259929e-03	 1.8780449e-04	 2.7997921e-03	 1.2036701e-04	 1.5298340e-03	 6.9023076e-05	 9.7038626e-05	 4.0704988e-06
 2.0000000e-02	 8.3518908e+03	 7.7634585e+02	 7.7952334e+01	 4.5508387e+00	 1.0381444e+01	 5.8064580e-01	 1.6418729e+00	 8.6218011e-02	 3.7881243e-01	 1.9938055e-02	 9.3731325e-02	 5.0041810e-03	 2.6844949e-02	 1.2308853e-03	 1.2016725e-02	 5.7548519e-04	 7.5356406e-03	 3.3511616e-04	 4.7368181e-03	 2.0408001e-04	 1.0652502e-03	 4.8160204e-05	 2.4430933e-04	 1.0169930e-05
 2.5000000e-02	 8.3318233e+03	 7.7458501e+02	 7.6142211e+01	 4.4480360e+00	 9.6685860e+00	 5.4130801e-01	 1.4109523e+00	 7.4119319e-02	 2.9418505e-01	 1.5503412e-02	 7.1743646e-02	 3.8300163e-03	 2.8951897e-02	 1.3257554e-03	 1.9551861e-02	 9.3648464e-04	 1.1226880e-02	 5.0021471e-04	 3.9772095e-03	 1.7182017e-04	 5.6053351e-04	 2.5263106e-05	 1.0983863e-04	 4.6030039e-06
 3.0000000e-02	 8.3074124e+03	 7.7243880e+02	 7.3994908e+01	 4.3258590e+00	 8.8704894e+00	 4.9719694e-01	 1.1826914e+00	 6.2137048e-02	 2.3209941e-01	 1.2241306e-02	 7.0575076e-02	 3.7640401e-03	 4.2335082e-02	 1.9387507e-03	 2.7948781e-02	 1.3401072e-03	 1.0836788e-02	 4.8412540e-04	 1.9008740e-03	 8.2129620e-05	 1.3696000e-03	 6.1787751e-05	 2.2377456e-04	 9.3260572e-06
 3.5000000e-02	 8.2787170e+03	 7.6991173e+02	 7.1544434e+01	 4.1861752e+00	 8.0240611e+00	 4.5031882e-01	 9.7957415e-01	 5.1446405e-02	 2.0334973e-01	 1.0717013e-02	 8.9832455e-02	 4.7888356e-03	 5.9735511e-02	 2.7380964e-03	 3.0480974e-02	 1.4637807e-03	 6.8532751e-03	 3.0707092e-04	 2.2171419e-03	 9.5427612e-05	 1.2376267e-03	 5.6038340e-05	 1.2729800e-04	 5.3324028e-06
 4.0000000e-02	 8.2457997e+03	 7.6700904e+02	 6.8828845e+01	 4.0310910e+00	 7.1679019e+00	 4.0277455e-01	 8.2110682e-01	 4.3071147e-02	 2.1221736e-01	 1.1158580e-02	 1.2264332e-01	 6.5409280e-03	 7.2020474e-02	 3.3057664e-03	 2.5177931e-02	 1.2114196e-03	 4.0230031e-03	 1.7963196e-04	 4.2662380e-03	 1.8444557e-04	 5.2609433e-04	 2.3783127e-05	 2.0002944e-04	 8.3437310e-06
 4.5000000e-02	 8.2087284e+03	 7.6373644e+02	 6.5889710e+01	 3.8629119e+00	 6.3404850e+00	 3.5666458e-01	 7.2188971e-01	 3.7784572e-02	 2.5580034e-01	 1.3417340e-02	 1.5798468e-01	 8.4347239e-03	 7.2869395e-02	 3.3509627e-03	 1.6265064e-02	 7.8375244e-04	 5.6232582e-03	 2.4965312e-04	 4.2991718e-03	 1.8685219e-04	 1.1689169e-03	 5.2723968e-05	 1.4759640e-04	 6.1819933e-06
